"cellNum";"totalBeds";"bedsAvailable";"sectionID"
1;4;4;1
2;4;4;1
3;4;4;1
4;4;3;1
5;4;0;1
6;4;0;1
7;4;0;1
8;4;0;1
9;4;0;1
10;4;0;1
11;4;0;1
12;4;0;1
13;4;0;1
14;4;0;1
15;4;0;1
16;4;0;1
17;4;0;1
18;4;0;1
19;4;0;1
20;4;0;1
21;4;0;1
22;4;0;1
23;4;0;1
24;4;0;1
25;4;0;1
26;4;0;1
27;4;0;1
28;4;0;1
29;4;0;1
30;4;0;1
31;4;0;1
32;4;0;1
33;4;0;1
34;4;0;1
35;4;0;1
36;4;0;1
37;4;0;1
38;4;0;1
39;4;0;1
40;4;0;1
41;4;0;1
42;4;0;1
43;4;0;1
44;4;0;1
45;4;0;1
46;4;0;1
47;4;0;1
48;4;0;1
49;4;0;1
50;4;0;1
51;4;0;1
52;4;0;1
53;4;0;1
54;4;0;1
55;4;0;1
56;4;0;1
57;4;0;1
58;4;0;1
59;4;0;1
60;4;0;1
61;4;0;1
62;4;0;1
63;4;0;1
64;4;0;1
65;4;0;1
66;4;0;1
67;4;0;1
68;4;0;1
69;4;0;1
70;4;0;1
71;4;0;1
72;4;0;1
73;4;0;1
74;4;0;1
75;4;0;1
76;4;0;1
77;4;0;1
78;4;0;1
79;4;0;1
80;4;0;1
81;4;0;1
82;4;0;1
83;4;0;1
84;4;0;1
85;4;0;1
86;4;0;1
87;4;0;1
88;4;0;1
89;4;0;1
90;4;0;1
91;4;0;1
92;4;0;1
93;4;0;1
94;4;0;1
95;4;0;1
96;4;0;1
97;4;0;1
98;4;0;1
99;4;0;1
100;4;0;1
101;4;0;2
102;4;0;2
103;4;0;2
104;4;0;2
105;4;0;2
106;4;0;2
107;4;0;2
108;4;0;2
109;4;0;2
110;4;0;2
111;4;0;2
112;4;0;2
113;4;0;2
114;4;0;2
115;4;0;2
116;4;0;2
117;4;0;2
118;4;0;2
119;4;0;2
120;4;0;2
121;4;0;2
122;4;0;2
123;4;0;2
124;4;0;2
125;4;0;2
126;4;0;2
127;4;0;2
128;4;0;2
129;4;0;2
130;4;0;2
131;4;0;2
132;4;0;2
133;4;0;2
134;4;0;2
135;4;0;2
136;4;0;2
137;4;0;2
138;4;0;2
139;4;0;2
140;4;0;2
141;4;0;2
142;4;0;2
143;4;0;2
144;4;0;2
145;4;0;2
146;4;0;2
147;4;0;2
148;4;0;2
149;4;0;2
150;4;0;2
151;4;0;2
152;4;0;2
153;4;0;2
154;4;0;2
155;4;0;2
156;4;0;2
157;4;0;2
158;4;0;2
159;4;0;2
160;4;0;2
161;4;0;2
162;4;0;2
163;4;0;2
164;4;0;2
165;4;0;2
166;4;0;2
167;4;0;2
168;4;0;2
169;4;0;2
170;4;0;2
171;4;0;2
172;4;0;2
173;4;0;2
174;4;0;2
175;4;0;2
176;4;0;2
177;4;0;2
178;4;0;2
179;4;0;2
180;4;0;2
181;4;0;2
182;4;0;2
183;4;0;2
184;4;0;2
185;4;0;2
186;4;0;2
187;4;0;2
188;4;0;2
189;4;0;2
190;4;0;2
191;4;0;2
192;4;0;2
193;4;0;2
194;4;0;2
195;4;0;2
196;4;0;2
197;4;0;2
198;4;0;2
199;4;0;2
200;4;0;2
201;4;0;3
202;4;0;3
203;4;0;3
204;4;0;3
205;4;0;3
206;4;0;3
207;4;0;3
